place_id,name,type,lat,lng,rating,user_ratings_total,price_level,vicinity,city,collected_at
ChIJ6f_W_LTFhkcR9STgCBgfWkI,Farmacie Omero Di Ricci Dr. Raniero,pharmacy,45.43427699999999,9.223412399999999,4.6,25.0,,"Via Nicolò Barabino, 3, Milano",milan,2026-02-03T22:21:11.619679
ChIJfUj6pbXFhkcRKYb46K9TEMs,Omero Farmacia,pharmacy,45.434478,9.223931999999998,,,,Italy,milan,2026-02-03T22:21:11.702433
ChIJ4_w_nJXFhkcREghMhqgkSkM,Farmacia Pennaglia,pharmacy,45.43215089999999,9.244027700000002,3.7,46.0,,"Via Monte Palombino, 9/B, Milano",milan,2026-02-03T22:21:11.856542
ChIJB1EQ2i_ohkcRitJnAVgQsUI,Farmacie Comunali Corsichesi S.P.A.,pharmacy,45.43941820000001,9.0928562,4.2,11.0,,"Via Eugenio Curiel, 2, Corsico",milan,2026-02-03T22:21:14.642711
ChIJE-_5GSXohkcRmkZZy8bvxmw,Lafarmacia. Del Giardino,pharmacy,45.4396443,9.090336500000001,3.9,46.0,,"Via delle Betulle, 3, Cesano Boscone",milan,2026-02-03T22:21:14.642756
ChIJrQm9Lm_ChkcR-qiyXiHpjWg,Farma Development Srl,pharmacy,45.4388423,9.099331999999999,5.0,1.0,,"Via Roma, 112, Cesano Boscone",milan,2026-02-03T22:21:14.738124
ChIJ7aPb-UTChkcRvqwrlbX0V4M,Farmacia Muttini,pharmacy,45.4367463,9.1067582,3.8,26.0,,"Via Niccolò Copernico, 6, Corsico",milan,2026-02-03T22:21:14.849991
ChIJxcFT0lrChkcRVxV30yI6q5o,Lafarmacia. Internazionale Corsico,pharmacy,45.4354433,9.1136856,4.1,83.0,,"Via Milano, 17, Corsico",milan,2026-02-03T22:21:14.957848
ChIJLaTWXr7DhkcRc5W1f736rVs,Farmacia N.S. di Montallegro,pharmacy,45.43877029999999,9.1493295,4.6,85.0,,"Via Bari, 11a, Milano",milan,2026-02-03T22:21:15.375268
ChIJdwsoLpTDhkcR2i7mLDUtiaI,Farmacia Barona,pharmacy,45.4376231,9.1552394,3.9,70.0,,"Piazza Guglielmo Miani, 3, Milano",milan,2026-02-03T22:21:16.497267
ChIJzaqgIpLDhkcRU_Qlp26OEFY,Azienda Farmacie Milanesi SP A.,pharmacy,45.4369688,9.1611931,3.3,6.0,,"Viale Famagosta, 36, Milano",milan,2026-02-03T22:21:16.605865
ChIJDdSgIpLDhkcRucVt82u2s1U,BENU Farmacia Milano N. 70 24H,pharmacy,45.4369941,9.161279,3.3,290.0,,"Viale Famagosta, 36, Milano",milan,2026-02-03T22:21:16.605896
ChIJcQUw7YnDhkcR0E1j-WODSsw,Farmacia della Torretta,pharmacy,45.43592049999999,9.1731623,4.4,106.0,,"Largo Promessi Sposi, 4, Milano",milan,2026-02-03T22:21:16.730318
ChIJLdosTHTEhkcRDa1HxM1Lrkc,Farmacia Sempio SNC,pharmacy,45.4370167,9.1780644,4.8,94.0,,"Via Lodovico Montegani, 4, Milano",milan,2026-02-03T22:21:16.838673
